strategy_2_n,Index_Name,Event_Type,count,mean,median,std_dev,min,max,5PCT,25PCT,50PCT,75PCT,95PCT,Net_count,Net_mean,Net_median,Net_std_dev,Net_min,Net_max,Net_5PCT,Net_25PCT,Net_50PCT,Net_75PCT,Net_95PCT
2.0,S&P SmallCap 600,Corporate Action,93,-0.004210146598462826,-0.0053030072602793,0.03449950112629332,-0.1148835316295706,0.0527876249958142,-0.05248136021673486,-0.0226086602694746,-0.0053030072602793,0.024188360949736,0.04752405287068565,93,-0.003334464858434852,-0.0033550570062885,0.03077881482112381,-0.1198684518610358,0.0648425192178474,-0.051029608751814254,-0.0190810374581239,-0.0033550570062885,0.0150915893507609,0.04554359398837451
2.0,S&P SmallCap 600,Index Review,90,0.004381476577665339,0.00497131575060165,0.028223040024589235,-0.0714284862050843,0.1243851380676507,-0.03902634094268142,-0.008965950005030726,0.00497131575060165,0.01824860625240235,0.04283295794266248,90,0.0021536863660680267,0.0029216924193609,0.0241908156695737,-0.0619208169084002,0.1245450712141258,-0.034122839310479575,-0.010802870540126875,0.0029216924193609,0.013633175150508974,0.03120060304154754
3.0,S&P 500,Corporate Action,22,-0.00501480781583706,0.00113579333636495,0.03841440003691754,-0.1100955732593491,0.0609221380902596,-0.050451757695112315,-0.022520491370148978,0.00113579333636495,0.015116827630667325,0.05844043978816162,22,-0.00490931807093715,-0.0023246670230730997,0.036644165586161404,-0.1058273644700789,0.0694153704316248,-0.044916759203049245,-0.0249644216173465,-0.0023246670230730997,0.017235306875503148,0.04574505760138962
3.0,S&P 500,Index Review,19,-0.008130718071009386,-0.0061419346484294,0.014977136741125083,-0.0527830552431944,0.0110841878604383,-0.028359669700394538,-0.0151654844825955,-0.0061419346484294,0.0034489974620529,0.005779389845345557,19,-0.005563736449524779,-0.0022537516217971,0.015101423384698479,-0.0601863089257762,0.0107562873865065,-0.022520262967934197,-0.0103864837148155,-0.0022537516217971,0.00140215256717985,0.008536867615488745
3.0,S&P MidCap 400,Corporate Action,60,0.0010882297345118199,0.00289379212967445,0.02385319181401745,-0.0801339755871141,0.0540507589299697,-0.03236605515875157,-0.008162725530629375,0.00289379212967445,0.0124667569215889,0.03769346680939046,60,7.390195758422898e-06,0.0011202721736612,0.0201793937996401,-0.0604574039063998,0.0560249297634517,-0.04344866975010327,-0.0064223795114709496,0.0011202721736612,0.00926121418220825,0.02898024847372271
3.0,S&P MidCap 400,Index Review,55,-0.0017274638839821564,-0.0002756456611044,0.015186455597834913,-0.0518479686487019,0.0284162147263917,-0.0259167459352728,-0.00922625656927875,-0.0002756456611044,0.0078063249997085,0.02206089561011103,55,0.0010952353650780602,0.002967472792533,0.013222403447054257,-0.0477995017833513,0.0318104721202894,-0.02161945248968358,-0.0052046196991999,0.002967472792533,0.0088904597160185,0.01672853125941134
3.0,S&P SmallCap 600,Corporate Action,93,-0.003994112179794508,0.0007889722539733,0.028373435173623198,-0.0918906034318987,0.0754285004712477,-0.052078217295786135,-0.0196454658184415,0.0007889722539733,0.0111740201087717,0.028173469485765566,93,-0.003924109036964661,0.0004025154349255,0.02871295161111816,-0.1030070695445386,0.0952055012461201,-0.054971194443659215,-0.0164515008226623,0.0004025154349255,0.0100327317240265,0.03334775425708834
3.0,S&P SmallCap 600,Index Review,90,-0.004261530996554729,-0.00190742495367705,0.01716363610767511,-0.0541662111223231,0.0671925642654537,-0.0353950263467738,-0.010631176356644399,-0.00190742495367705,0.004457562190578525,0.013967250441138689,90,-0.001780136607167171,0.00015618045037789984,0.015777960318878147,-0.0480410956748069,0.0723374721230594,-0.02529370515386153,-0.008417320848729676,0.00015618045037789984,0.00486911461698545,0.017353065122481318
4.0,S&P 500,Corporate Action,22,-0.009085322500302351,-0.0009168077503050999,0.028976135327481115,-0.0879270648093376,0.037902924912215,-0.07024950684836755,-0.012480390813338725,-0.0009168077503051,0.007272190960350949,0.01780857275909149,22,-0.009273463550881532,-0.00297506298559265,0.027584521161569158,-0.0853189883167018,0.0317887436471427,-0.06693476364412042,-0.015383001494684674,-0.00297506298559265,0.0067308726585465495,0.015356405326775829
4.0,S&P 500,Index Review,19,-0.0019207633690402897,-0.0013362649870253,0.013314350550913697,-0.0312231468782004,0.0249201897898581,-0.02415069724362297,-0.0082746914602508,-0.0013362649870253,0.0073696980139428,0.016956037337605003,19,-0.0007382922297596893,-0.001743144134748,0.008771510601691871,-0.0140996918153195,0.0233800390255498,-0.01336782194633051,-0.0058915064715397,-0.001743144134748,0.00277116438271265,0.011368711646691431
4.0,S&P MidCap 400,Corporate Action,60,-0.0010468383274149391,-9.151659349478065e-05,0.020492770357741247,-0.0739787565462666,0.0579144205194217,-0.04258335796424723,-0.008089392733088924,-9.151659349478065e-05,0.0108893777966667,0.020574465612577877,60,-0.001419945006907615,0.0004771052784652,0.01786856609002221,-0.0669632544676681,0.054593201750919,-0.033144368111357306,-0.00716511773405665,0.0004771052784652,0.0047821174846963,0.020965056276793567
4.0,S&P MidCap 400,Index Review,55,-0.0007600022412347052,0.0012342465028673,0.014565769003807322,-0.0518417626035799,0.0261956339013282,-0.02410371363903638,-0.00828783249609635,0.0012342465028673,0.00689588988871805,0.021526726223695718,55,0.0013776678900458866,0.0006496203944971,0.011069971478620594,-0.0368242610800433,0.0280768910629146,-0.015330659553551,-0.0029417972790909998,0.0006496203944971,0.00798450186743755,0.01889797742466733
