strategy_1_n,Index_Name,Event_Type,count,mean,median,std_dev,min,max,5PCT,25PCT,50PCT,75PCT,95PCT
2,S&P MidCap 400,Index Review,55,-0.004616275763636365,-0.008206562,0.022222372063614472,-0.032380674,0.123787758,-0.0252572076,-0.018380624999999998,-0.008206562,0.0032149939999999997,0.022553722099999996
2,S&P SmallCap 600,Corporate Action,92,0.003990305630217391,0.0022812285,0.027326053563484335,-0.092753624,0.110275675,-0.0374155723,-0.008069561749999999,0.0022812285,0.014261955,0.0479694049
2,S&P SmallCap 600,Index Review,90,-0.001480390466666667,-0.003819902,0.020023007772882757,-0.049274253,0.088402313,-0.03321792305,-0.012116469,-0.003819902,0.0124424145,0.025677942549999985
3,DJIA,Corporate Action,1,0.011937183,0.011937183,,0.011937183,0.011937183,0.011937183,0.011937183,0.011937183,0.011937183,0.011937183
3,DJTA,Corporate Action,1,0.008211029,0.008211029,,0.008211029,0.008211029,0.008211029,0.008211029,0.008211029,0.008211029,0.008211029
3,S&P 100,Index Review,3,-0.0014973863333333332,-0.007054599,0.00980570138854862,-0.007262188,0.009824628,-0.0072414291,-0.0071583935000000005,-0.007054599,0.0013850145000000001,0.008136705299999998
3,S&P 500,Corporate Action,17,-0.002091030882352941,0.003878481,0.021860225276047803,-0.057311827,0.027902634,-0.0497271038,-0.009841012,0.003878481,0.007558131,0.023255401199999998
3,S&P 500,Index Review,19,0.002370830157894737,0.003044271,0.013693972214836151,-0.020391922,0.027494384,-0.0170034661,-0.0083457755,0.003044271,0.011773978,0.022474187599999987
3,S&P MidCap 400,Corporate Action,58,-0.005167720586206896,-0.0044938175,0.017317656225865875,-0.057101457,0.044749678,-0.0325874523,-0.012952712750000001,-0.0044938175,0.00474759,0.014309419099999996
3,S&P MidCap 400,Index Review,55,-0.002575972545454545,-0.00712565,0.017095624317259375,-0.024937949,0.088252849,-0.0199399702,-0.012270917999999999,-0.00712565,0.000531047,0.020242048899999997
3,S&P SmallCap 600,Corporate Action,90,0.00013679631111111106,0.0021234195000000003,0.018764237041932183,-0.057424248,0.044277352,-0.03726730735,-0.009619067750000002,0.0021234195000000003,0.01116161425,0.028571209799999994
3,S&P SmallCap 600,Index Review,90,0.0002234997888888887,-0.0005341705,0.015617476024800377,-0.033104155,0.068350521,-0.0211059692,-0.00832784875,-0.0005341705,0.00867112025,0.0231711525
4,DJIA,Corporate Action,1,0.008568121,0.008568121,,0.008568121,0.008568121,0.008568121,0.008568121,0.008568121,0.008568121,0.008568121
4,DJTA,Corporate Action,1,0.006682393,0.006682393,,0.006682393,0.006682393,0.006682393,0.006682393,0.006682393,0.006682393,0.006682393
4,S&P 100,Index Review,3,-0.0008636096666666671,-0.005644695,0.014736387646234925,-0.012615805,0.015669671,-0.011918694,-0.00913025,-0.005644695,0.005012487999999999,0.013538234399999998
4,S&P 500,Corporate Action,8,8.665249999999984e-05,0.001021699,0.008215513585268109,-0.014817619,0.010080645,-0.01239663855,-0.00257358875,0.001021699,0.00481182225,0.009528909899999998
4,S&P 500,Index Review,18,0.004584785722222223,0.0082040265,0.010879231287050466,-0.016751056,0.029056776,-0.011297877599999999,-0.00353278225,0.0082040265,0.010557341,0.01872013084999998
